fips,year,population,white_pct,hispanic_pct,black_pct
53031,2005,28506,0.9244018803059005,0.026485652143408405,0.007717673472251456
53031,2006,29239,0.9241082116351449,0.026608297137385,0.007729402510345771
53031,2007,29346,0.9221699720575206,0.028692155660055885,0.008144210454576433
53031,2008,29648,0.9189152725310308,0.02890582838640043,0.008702104695089044
53031,2009,29714,0.9168068923739652,0.029245473514168407,0.008514504947162953
53031,2010,29924,0.9180256650180457,0.03208127255714477,0.0084213340462505
53033,2000,1739009,0.7857630409043311,0.05566216161043445,0.05679154046931327
53033,2001,1754090,0.779908670592729,0.05921303923971974,0.0575152928299004
53033,2002,1758685,0.7730707886858648,0.06225503714422992,0.05824010553339569
53033,2003,1763440,0.7660799346731388,0.06551116000544391,0.05906183368869936
53033,2004,1775297,0.7594791181419221,0.06884481864161321,0.05972972409686943
53033,2005,1795268,0.7529967670565063,0.07224603791745857,0.06056477361597266
53033,2006,1822967,0.746150094872809,0.07591799522426901,0.06136644272770708
53033,2007,1847986,0.7399341769905183,0.07901196221183494,0.06203834877536951
53033,2008,1875020,0.7334657763650521,0.08311431344732323,0.06313585988416123
53033,2009,1912012,0.7273468994964467,0.0867776980479202,0.06413139666487448
53033,2010,1937961,0.7225496281916922,0.08953327750145643,0.06439448471873273
53035,2000,232720,0.8602096940529391,0.04159934685458921,0.029627878996218632
53035,2001,234513,0.8591549295774648,0.04394212687569559,0.029055958518291097
53035,2002,238129,0.8578753532749056,0.04613885751000508,0.02902628407291846
53035,2003,239758,0.8567639036027995,0.04787744308844752,0.02807414142593782
53035,2004,241960,0.8552488014547859,0.050343031906100184,0.028145147958340222
53035,2005,239806,0.8534190137027431,0.052213038873089083,0.02701350258125318
53035,2006,245054,0.8509430574485624,0.055049091220710535,0.027879569401029976
53035,2007,244105,0.8492001392843244,0.05650846971590094,0.027221892218512525
53035,2008,246912,0.8459734642301711,0.05807737169517885,0.02758472654224987
53035,2009,248800,0.8438705787781351,0.060622990353697746,0.027331189710610933
53035,2010,251809,0.840899253005254,0.06250769432387246,0.02748511768840669
53037,2000,33537,0.9396189283477949,0.05051137549572114,0.008319169872081582
53037,2001,34000,0.9374705882352942,0.054705882352941174,0.008441176470588235
53037,2002,34977,0.9357577836864225,0.058066729565142805,0.008519884495525631
53037,2003,35726,0.935145272350669,0.059984325141353635,0.008621172255500196
53037,2004,36921,0.9337775249857805,0.06213266162888329,0.009046342190081526
53037,2005,37537,0.9351306710712097,0.06476276740282921,0.008445000932413353
53037,2006,38680,0.9334022750775595,0.06494312306101345,0.00904860392967942
53037,2007,39158,0.933806629552071,0.06869605189233362,0.009116910976045764
