fips,year,area
12039,2000,516.13
12039,2010,516.33
12041,2000,348.89
12041,2010,349.68
12043,2000,773.64
12043,2010,806.01
12045,2000,554.6
12045,2010,564.01
12047,2000,514.86
12047,2010,513.79
12049,2000,637.3
12049,2010,637.78
12051,2000,1152.53
12051,2010,1152.75
12053,2000,478.31
12053,2010,472.54
12055,2000,1028.27
12055,2010,1016.62
12057,2000,1050.91
12057,2010,1020.21
12059,2000,482.45
12059,2010,478.78
12061,2000,503.23
12061,2010,502.87
12063,2000,915.64
12063,2010,917.76
12065,2000,597.74
12065,2010,598.1
12067,2000,542.84
12067,2010,543.41
12069,2000,953.15
12069,2010,938.38
12071,2000,803.63
12071,2010,784.51
12073,2000,666.74
12073,2010,666.85
12075,2000,1118.38
12075,2010,1118.21
12077,2000,835.87
12077,2010,835.56
12079,2000,691.79
12079,2010,695.95
12081,2000,741.03
12081,2010,742.93
12083,2000,1578.86
12083,2010,1584.55
12085,2000,555.62
12085,2010,543.46
12086,2000,1946.06
12086,2010,1897.72
12087,2000,996.91
12087,2010,983.28
12089,2000,651.55
12089,2010,648.64
12091,2000,935.63
12091,2010,930.25
12093,2000,773.94
12093,2010,768.91
12095,2000,907.45
12095,2010,903.43
12097,2000,1321.9
12097,2010,1327.45
12099,2000,1974.11
12099,2010,1969.76
12101,2000,744.85
12101,2010,746.89
12103,2000,279.92
12103,2010,273.8
12105,2000,1874.38
12105,2010,1797.84
12107,2000,721.89
12107,2010,727.62
12109,2000,609.01
12109,2010,600.66
12111,2000,572.45
12111,2010,571.93
12113,2000,1016.93
12113,2010,1011.61
12115,2000,571.55
12115,2010,555.87
12117,2000,308.2
12117,2010,309.22
12119,2000,545.73
12119,2010,546.93
12121,2000,687.64
12121,2010,688.55
12123,2000,1041.91
12123,2010,1043.31
12125,2000,240.29
12125,2010,243.56
12127,2000,1103.25
12127,2010,1101.03
12129,2000,606.66
12129,2010,606.42
12131,2000,1057.56
12131,2010,1037.63
12133,2000,579.93
12133,2010,582.8
13000,2000,57906.14
13000,2010,57513.49
13001,2000,508.51
13001,2010,507.08
13003,2000,338.04
13003,2010,339.38
13005,2000,284.95
13005,2010,258.58
13007,2000,343.22
13007,2010,341.94
13009,2000,258.45
13009,2010,257.84
13011,2000,233.67
13011,2010,232.09
13013,2000,162.17
13013,2010,160.31
13015,2000,459.43
13015,2010,459.54
13017,2000,251.79
13017,2010,250.12
13019,2000,452.41
13019,2010,451.9
13021,2000,249.96
13021,2010,249.76
13023,2000,217.39
13023,2010,215.87
13025,2000,444.4
13025,2010,442.36
13027,2000,493.62
13027,2010,493.05
13029,2000,441.71
13029,2010,435.97
13031,2000,682.07
13031,2010,672.81
13033,2000,830.47
13033,2010,826.97
13035,2000,186.61
13035,2010,184.39
13037,2000,280.18
13037,2010,280.37
13039,2000,629.91
13039,2010,613.03
13043,2000,246.88
13043,2010,243.04
13045,2000,498.93
13045,2010,499.08
13047,2000,162.23
13047,2010,162.16
13049,2000,780.77
13049,2010,773.58
13051,2000,438.11
13051,2010,426.44
13053,2000,248.77
13053,2010,248.74
13055,2000,313.33
13055,2010,313.34
13057,2000,423.68
13057,2010,421.67
13059,2000,120.79
13059,2010,119.2
13061,2000,195.21
13061,2010,195.38
13063,2000,142.62
13063,2010,141.57
13065,2000,809.29
13065,2010,800.22
13067,2000,340.15
13067,2010,339.55
13069,2000,598.9
13069,2010,575.1
13071,2000,552.27
13071,2010,544.15
13073,2000,290.01
13073,2010,290.09
13075,2000,229.02
13075,2010,227.16
13077,2000,442.62
13077,2010,440.89
13079,2000,325.01
13079,2010,324.89
13081,2000,273.82
13081,2010,272.58
13083,2000,173.98
13083,2010,173.98
13085,2000,211.04
13085,2010,210.83
13087,2000,596.8
13087,2010,597.14
13089,2000,268.21
13089,2010,267.58
13091,2000,500.29
13091,2010,495.89
13093,2000,392.88
13093,2010,391.94
13095,2000,329.6
13095,2010,328.69
13097,2000,199.3
13097,2010,200.07
13099,2000,511.23
13099,2010,512.59
13101,2000,404.13
13101,2010,414.89
13103,2000,479.41
13103,2010,477.7
13105,2000,368.76
13105,2010,351.06
13107,2000,685.79
13107,2010,680.6
13109,2000,184.92
13109,2010,182.85
13111,2000,385.74
13111,2010,386.72
13113,2000,197.05
13113,2010,194.34
13115,2000,513.13
13115,2010,509.91
13117,2000,225.8
13117,2010,224.02
13119,2000,263.29
13119,2010,261.5
13121,2000,528.66
13121,2010,526.64
13123,2000,426.69
13123,2010,426.54
13125,2000,144.14
13125,2010,143.74
13127,2000,422.37
13127,2010,419.75
13129,2000,355.54
13129,2010,355.81
13131,2000,458.12
13131,2010,454.53
13133,2000,388.28
13133,2010,387.44
13135,2000,432.73
13135,2010,430.38
13137,2000,278.17
13137,2010,276.74
13139,2000,393.66
13139,2010,392.78
13141,2000,473.28
13141,2010,471.84
13143,2000,282.11
13143,2010,282.17
13145,2000,463.69
13145,2010,463.87
13147,2000,232.21
13147,2010,232.39
13149,2000,296.03
13149,2010,296.03
13151,2000,322.71
13151,2010,322.13
13153,2000,376.75
13153,2010,375.54
13155,2000,356.81
13155,2010,354.34
13157,2000,342.36
13157,2010,339.66
13159,2000,370.42
13159,2010,368.17
13161,2000,333.38
13161,2010,330.74
13163,2000,527.65
13163,2010,526.49
13165,2000,349.81
13165,2010,347.28
13167,2000,304.26
13167,2010,303.01
13169,2000,393.75
13169,2010,393.93
13171,2000,184.82
13171,2010,183.5
13173,2000,186.82
13173,2010,185.26
13175,2000,812.27
13175,2010,807.3
13177,2000,355.77
13177,2010,355.78
13179,2000,519.05
13179,2010,489.8
13181,2000,211.09
13181,2010,210.38
13183,2000,400.92
13183,2010,400.29
13185,2000,504.22
13185,2010,496.07
13187,2000,284.47
13187,2010,282.93
13189,2000,259.77
13189,2010,257.46
13191,2000,433.45
13191,2010,424.3
13193,2000,403.28
13193,2010,400.64
13195,2000,283.88
13195,2010,282.31
13197,2000,367
13197,2010,366
13199,2000,503.28
13199,2010,501.22
13201,2000,283.05
13201,2010,282.42
13205,2000,511.96
13205,2010,512.09
13207,2000,395.63
13207,2010,395.66
13209,2000,245.33
13209,2010,239.52
13211,2000,349.64
13211,2010,347.35
13213,2000,344.41
13213,2010,344.47
13215,2000,216.26
13215,2010,216.39
13217,2000,276.43
13217,2010,272.16
13219,2000,185.7
13219,2010,184.29
13221,2000,441.11
13221,2010,439.01
13223,2000,313.43
13223,2010,312.22
13225,2000,151.06
13225,2010,150.27
13227,2000,232.13
13227,2010,232.06
13229,2000,343.25
13229,2010,316.49
13231,2000,218.37
13231,2010,216.09
13233,2000,311.14
13233,2010,310.33
13235,2000,247.42
13235,2010,249.03
13237,2000,344.53
13237,2010,344.64
13239,2000,151.54
13239,2010,151.24
13241,2000,371.05
13241,2010,369.99
13243,2000,429.25
13243,2010,428.24
13245,2000,324.04
13245,2010,324.33
13247,2000,130.63
13247,2010,129.79
13249,2000,167.61
13249,2010,166.91
13251,2000,648.44
13251,2010,645.1
13253,2000,238.04
13253,2010,235.23
13255,2000,197.95
13255,2010,196.47
13257,2000,179.26
13257,2010,179.13
13259,2000,458.7
13259,2010,458.73
13261,2000,485.28
13261,2010,482.7
13263,2000,393.21
13263,2010,391.39
13265,2000,195.39
13265,2010,194.61
13267,2000,483.69
13267,2010,479.4
13269,2000,377.44
13269,2010,376.69
13271,2000,441.09
13271,2010,437.3
13273,2000,335.37
13273,2010,335.44
13275,2000,548.3
13275,2010,544.6
13277,2000,265.05
13277,2010,258.92
13279,2000,366.65
13279,2010,364.01
13281,2000,166.66
13281,2010,166.56
13283,2000,200.66
13283,2010,199.44
13285,2000,413.9
13285,2010,413.99
13287,2000,286.03
13287,2010,285.39
13289,2000,360.29
13289,2010,358.4
13291,2000,322.55
13291,2010,321.93
13293,2000,325.48
13293,2010,323.44
13295,2000,446.58
13295,2010,446.38
13297,2000,329.18
13297,2010,325.68
13299,2000,902.29
13299,2010,892.46
13301,2000,285.52
13301,2010,284.3
13303,2000,680.34
13303,2010,678.45
13305,2000,644.66
13305,2010,641.78
13307,2000,209.54
13307,2010,209.12
13309,2000,297.72
13309,2010,295.48
13311,2000,241.58
13311,2010,240.69
13313,2000,289.99
13313,2010,290.46
13315,2000,380.3
13315,2010,377.71
13317,2000,471.37
13317,2010,469.49
13319,2000,446.56
13319,2010,447.31
13321,2000,569.73
13321,2010,570.7
15000,2000,6422.62
15000,2010,6422.63
15001,2000,4028.02
15001,2010,4028.42
15003,2000,599.77
15003,2010,600.74
15005,2000,13.21
15005,2010,11.99
15007,2000,622.44
15007,2010,619.96
15009,2000,1159.2
15009,2010,1161.52
16000,2000,82747.21
16000,2010,82643.12
16001,2000,1054.99
16001,2010,1052.58
16003,2000,1364.58
16003,2010,1363.06
16005,2000,1113.3
16005,2010,1111.99
16007,2000,971.38
16007,2010,974.79
16009,2000,776.07
16009,2010,776.62
16011,2000,2094.73
16011,2010,2093.98
16013,2000,2644.78
16013,2010,2643.59
16015,2000,1902.46
16015,2010,1899.24
16017,2000,1737.67
16017,2010,1734.57
16019,2000,1868.48
16019,2010,1866.08
16021,2000,1268.81
16021,2010,1268.56
16023,2000,2232.85
16023,2010,2231.67
16025,2000,1074.96
16025,2010,1074.49
16027,2000,589.72
16027,2010,587.37
16029,2000,1766.01
16029,2010,1764.15
16031,2000,2566.45
16031,2010,2565.08
16033,2000,1764.63
16033,2010,1764.19
16035,2000,2461.4
16035,2010,2457.27
16037,2000,4925.45
16037,2010,4920.94
16039,2000,3077.57
16039,2010,3074.74
16041,2000,665.43
16041,2010,663.65
16043,2000,1866.76
16043,2010,1863.53
16045,2000,562.58
16045,2010,560.9
16047,2000,730.78
16047,2010,728.97
16049,2000,8484.88
16049,2010,8477.35
16051,2000,1095.08
16051,2010,1093.5
16053,2000,599.84
16053,2010,597.19
16055,2000,1245.12
16055,2010,1244.13
16057,2000,1076.65
16057,2010,1076
16059,2000,4564.16
16059,2010,4563.39
16061,2000,479.04
16061,2010,478.8
16063,2000,1205.53
16063,2010,1201.41
16065,2000,471.52
16065,2010,469.21
16067,2000,759.62
16067,2010,757.59
16069,2000,849.08
16069,2010,848.09
16071,2000,1200.33
16071,2010,1200.06
16073,2000,7677.98
16073,2010,7665.51
16075,2000,407.52
16075,2010,406.87
16077,2000,1405.57
16077,2010,1404.24
16079,2000,2633.91
16079,2010,2629.67
16081,2000,450.36
16081,2010,449.46
16083,2000,1925.03
16083,2010,1921.21
16085,2000,3677.82
16085,2010,3664.52
16087,2000,1456.32
16087,2010,1452.98
17000,2000,55583.58
17000,2010,55518.93
17001,2000,856.63
17001,2010,855.2
17003,2000,236.38
17003,2010,235.51
17005,2000,380.2
17005,2010,380.28
17007,2000,281.27
17007,2010,280.72
17009,2000,305.65
17009,2010,305.61
17011,2000,868.56
17011,2010,869.03
17013,2000,253.82
17013,2010,253.83
17015,2000,444.21
17015,2010,444.81
17017,2000,375.9
17017,2010,375.82
17019,2000,996.81
17019,2010,996.27
17021,2000,709.06
17021,2010,709.38
17023,2000,501.5
17023,2010,501.42
17025,2000,469.25
17025,2010,468.32
17027,2000,474.23
17027,2010,474.09
17029,2000,508.29
17029,2010,508.29
17031,2000,945.68
17031,2010,945.33
17033,2000,443.53
17033,2010,443.63
17035,2000,346.02
17035,2010,346.02
17037,2000,634.16
17037,2010,631.31
17039,2000,397.58
17039,2010,397.51
17041,2000,416.86
17041,2010,416.67
17043,2000,333.61
17043,2010,327.5
17045,2000,623.55
17045,2010,623.37
17047,2000,222.35
17047,2010,222.42
17049,2000,478.7
17049,2010,478.78
17051,2000,716.49
17051,2010,716.48
17053,2000,485.9
17053,2010,485.62
17055,2000,412.08
17055,2010,408.89
17057,2000,865.62
17057,2010,865.6
17059,2000,323.73
17059,2010,323.07
17061,2000,543.09
17061,2010,543.02
17063,2000,419.9
17063,2010,418.04
17065,2000,435.16
17065,2010,434.67
17067,2000,794.62
17067,2010,793.73
17069,2000,178.33
17069,2010,177.53
17071,2000,378.81
17071,2010,378.87
17073,2000,823.21
17073,2010,822.99
17075,2000,1116.43
17075,2010,1117.32
17077,2000,588.12
17077,2010,584.08
17079,2000,494.4
17079,2010,494.51
17081,2000,570.96
17081,2010,571.17
17083,2000,369.16
17083,2010,369.27
17085,2000,601.08
17085,2010,601.09
17087,2000,344.63
17087,2010,343.92
17089,2000,520.44
17089,2010,520.06
17091,2000,676.75
17091,2010,676.56
17093,2000,320.58
17093,2010,320.34
17095,2000,716.28
17095,2010,716.4
17097,2000,447.56
17097,2010,443.67
17099,2000,1134.92
17099,2010,1135.12
17101,2000,371.98
17101,2010,372.18
17103,2000,725.36
17103,2010,724.9
17105,2000,1043.76
17105,2010,1044.29
17107,2000,618.14
17107,2010,618.06
17109,2000,589.27
17109,2010,589.41
17111,2000,603.51
17111,2010,603.17
17113,2000,1183.53
17113,2010,1183.38
17115,2000,580.52
17115,2010,580.69
17117,2000,863.57
17117,2010,862.91
17119,2000,725.02
17119,2010,715.58
17121,2000,572.26
17121,2010,572.36
17123,2000,386.06
17123,2010,386.79
17125,2000,538.94
17125,2010,539.24
17127,2000,239.05
17127,2010,237.22
17129,2000,314.25
17129,2010,314.44
17131,2000,561.02
17131,2010,561.2
17133,2000,388.29
17133,2010,385.01
17135,2000,703.8
17135,2010,703.69
17137,2000,568.76
17137,2010,568.79
